"SiteID","SiteName","Latitude","Longitude","SpeciesID","SpeciesDesc","Kingdom","SpeciesType","PhenophaseID","PhenophaseCategory","PhenophaseDesc","Year","FirstYes","LastYes","NumLastNo","NumFirstNo","LastNo","FirstNo","TotDays"
27474,"Visitor Center Trail",29.784473,-90.114784,2,"boxelder","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,324,324,25,0,299,324,25
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",467,"Leaves","Increasing leaf size",2017,355,355,1,2,354,357,3
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,306,306,7,0,299,306,7
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,322,324,23,30,299,354,55
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",501,"Flowers","Open flowers",2017,354,354,30,1,324,355,31
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",504,"Fruits","Recent fruit or seed drop",2017,245,322,14,2,231,324,93
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,324,355,2,2,322,357,35
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",390,"Fruits","Ripe fruits",2017,245,245,14,0,231,245,14
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,263,322,18,2,245,324,79
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,263,322,18,2,245,324,79
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",500,"Flowers","Flowers or flower buds",2017,299,299,0,7,299,306,7
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",501,"Flowers","Open flowers",2017,299,299,0,7,299,306,7
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",504,"Fruits","Recent fruit or seed drop",2017,245,322,14,2,231,324,93
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,355,355,1,2,354,357,3
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",482,"Leaves","Initial growth (forbs)",2017,324,324,25,30,299,354,55
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",500,"Flowers","Flowers or flower buds",2017,324,324,0,30,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",501,"Flowers","Open flowers",2017,324,324,0,30,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",504,"Fruits","Recent fruit or seed drop",2017,354,354,30,0,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",393,"Seed cones","Ripe seed cones",2017,245,245,14,0,231,245,14
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",472,"Needles","Falling needles",2017,245,245,14,0,231,245,14
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",490,"Pollen cones","Pollen cones (conifers)",2017,231,231,0,14,231,245,14
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",491,"Seed cones","Recent cone or seed drop",2017,245,245,14,0,231,245,14
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",495,"Pollen cones","Open pollen cones (conifers)",2017,299,299,0,23,299,322,23
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",390,"Fruits","Ripe fruits",2017,324,324,0,30,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,324,324,2,30,322,354,32
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",483,"Leaves","Leaves",2017,324,324,0,30,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,324,324,0,30,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,324,324,0,30,324,354,30
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",484,"Leaves","Young leaves (tree/shrub)",2017,322,355,16,2,306,357,51
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",500,"Flowers","Flowers or flower buds",2017,322,322,16,2,306,324,18
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",504,"Fruits","Recent fruit or seed drop",2017,299,299,0,7,299,306,7
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",516,"Fruits","Fruits",2017,324,324,2,30,322,354,32
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",371,"Leaves","Breaking leaf buds",2017,322,322,23,2,299,324,25
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",390,"Fruits","Ripe fruits",2017,322,324,23,30,299,354,55
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",467,"Leaves","Increasing leaf size",2017,322,322,23,2,299,324,25
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,322,354,23,3,299,357,58
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,322,322,23,2,299,324,25
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",504,"Fruits","Recent fruit or seed drop",2017,322,322,23,2,299,324,25
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,322,324,23,30,299,354,55
27475,"Palmetto Trail",29.783813,-90.117561,3,"red maple","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,324,324,2,30,322,354,32
27475,"Palmetto Trail",29.783813,-90.117561,81,"sweetgum","Plantae","Deciduous broadleaf",467,"Leaves","Increasing leaf size",2017,355,355,1,0,354,355,1
27475,"Palmetto Trail",29.783813,-90.117561,81,"sweetgum","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,322,322,16,2,306,324,18
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",392,"Seed cones","Unripe seed cones",2017,299,299,0,23,299,322,23
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",393,"Seed cones","Ripe seed cones",2017,355,355,1,0,354,355,1
