"SiteID","SiteName","Latitude","Longitude","SpeciesID","SpeciesDesc","Kingdom","SpeciesType","PhenophaseID","PhenophaseCategory","PhenophaseDesc","Year","FirstYes","LastYes","NumLastNo","NumFirstNo","LastNo","FirstNo","TotDays","aveDays","YesDays","YesDurationGroup"
27474,"Visitor Center Trail",29.784473,-90.114784,2,"boxelder","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,324,324,25,0,299,324,26,14,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",467,"Leaves","Increasing leaf size",2017,355,355,1,2,354,357,4,3,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,306,306,7,0,299,306,8,5,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,322,324,23,30,299,354,56,30,3,"B. 2-20 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",501,"Flowers","Open flowers",2017,354,354,30,1,324,355,32,17,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",504,"Fruits","Recent fruit or seed drop",2017,245,322,14,2,231,324,94,86,78,"D. 51-100 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,81,"sweetgum","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,324,355,2,2,322,357,36,34,32,"C. 21-50 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",390,"Fruits","Ripe fruits",2017,245,245,14,0,231,245,15,8,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,263,322,18,2,245,324,80,70,60,"D. 51-100 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,263,322,18,2,245,324,80,70,60,"D. 51-100 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",500,"Flowers","Flowers or flower buds",2017,299,299,0,7,299,306,8,5,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",501,"Flowers","Open flowers",2017,299,299,0,7,299,306,8,5,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",504,"Fruits","Recent fruit or seed drop",2017,245,322,14,2,231,324,94,86,78,"D. 51-100 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,355,355,1,2,354,357,4,3,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",482,"Leaves","Initial growth (forbs)",2017,324,324,25,30,299,354,56,29,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",500,"Flowers","Flowers or flower buds",2017,324,324,0,30,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",501,"Flowers","Open flowers",2017,324,324,0,30,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Plantae","Forb",504,"Fruits","Recent fruit or seed drop",2017,354,354,30,0,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",393,"Seed cones","Ripe seed cones",2017,245,245,14,0,231,245,15,8,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",472,"Needles","Falling needles",2017,245,245,14,0,231,245,15,8,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",490,"Pollen cones","Pollen cones (conifers)",2017,231,231,0,14,231,245,15,8,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",491,"Seed cones","Recent cone or seed drop",2017,245,245,14,0,231,245,15,8,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,296,"bald cypress","Plantae","Deciduous conifer",495,"Pollen cones","Open pollen cones (conifers)",2017,299,299,0,23,299,322,24,13,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",390,"Fruits","Ripe fruits",2017,324,324,0,30,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,324,324,2,30,322,354,33,17,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",483,"Leaves","Leaves",2017,324,324,0,30,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,324,324,0,30,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,309,"trumpet creeper","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,324,324,0,30,324,354,31,16,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",484,"Leaves","Young leaves (tree/shrub)",2017,322,355,16,2,306,357,52,43,34,"C. 21-50 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",500,"Flowers","Flowers or flower buds",2017,322,322,16,2,306,324,19,10,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",504,"Fruits","Recent fruit or seed drop",2017,299,299,0,7,299,306,8,5,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,722,"wax myrtle","Plantae","Evergreen broadleaf",516,"Fruits","Fruits",2017,324,324,2,30,322,354,33,17,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",371,"Leaves","Breaking leaf buds",2017,322,322,23,2,299,324,26,14,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",390,"Fruits","Ripe fruits",2017,322,324,23,30,299,354,56,30,3,"B. 2-20 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",467,"Leaves","Increasing leaf size",2017,322,322,23,2,299,324,26,14,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,322,354,23,3,299,357,59,46,33,"C. 21-50 Days"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",498,"Leaves","Colored leaves",2017,322,322,23,2,299,324,26,14,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",504,"Fruits","Recent fruit or seed drop",2017,322,322,23,2,299,324,26,14,1,"A. One Day"
27474,"Visitor Center Trail",29.784473,-90.114784,804,"eastern baccharis","Plantae","Deciduous broadleaf",516,"Fruits","Fruits",2017,322,324,23,30,299,354,56,30,3,"B. 2-20 Days"
27475,"Palmetto Trail",29.783813,-90.117561,3,"red maple","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,324,324,2,30,322,354,33,17,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,81,"sweetgum","Plantae","Deciduous broadleaf",467,"Leaves","Increasing leaf size",2017,355,355,1,0,354,355,2,2,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,81,"sweetgum","Plantae","Deciduous broadleaf",471,"Leaves","Falling leaves",2017,322,322,16,2,306,324,19,10,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",392,"Seed cones","Unripe seed cones",2017,299,299,0,23,299,322,24,13,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",393,"Seed cones","Ripe seed cones",2017,355,355,1,0,354,355,2,2,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",487,"Needles","Needles (deciduous)",2017,354,354,0,1,354,355,2,2,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",490,"Pollen cones","Pollen cones (conifers)",2017,299,299,0,7,299,306,8,5,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,296,"bald cypress","Plantae","Deciduous conifer",495,"Pollen cones","Open pollen cones (conifers)",2017,299,299,0,7,299,306,8,5,1,"A. One Day"
27475,"Palmetto Trail",29.783813,-90.117561,305,"live oak","Plantae","Semi-evergreen broadleaf",471,"Leaves","Falling leaves",2017,324,324,2,30,322,354,33,17,1,"A. One Day"
