PartnerGroup,SiteID,SiteName,Latitude,Longitude,ElevationMeters,State,SpeciesID,Genus,Species,SpeciesDesc,Kingdom,SpeciesType,SpeciesCategory,USDASymbol,ITISNumber,PhenophaseID,PhenophaseCategory,PhenophaseDesc,First_Yes_Sample_Size,First_Yes_Year,FirstYes,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,NumLastNo,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Last_Yes_Year,LastYes,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Min_Last_Yes_DOY,Max_Last_Yes_DOY,Median_Last_Yes_DOY,NumFirstNo,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Observed_Status_Conflict_Flag,Observed_Status_Conflict_Flag_Individual_IDs
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,2,Acer,negundo,boxelder,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Green Wave Campaign",ACNE2,28749,471,Leaves,Falling leaves,1,2017,324,2458078,-9999,-9999,324,324,324,25,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,390,Fruits,Ripe fruits,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,1,'141890',MultiObserver-StatusConflict,'141890'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,467,Leaves,Increasing leaf size,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,1,2017,355,2458109,-9999,-9999,355,355,355,2,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,471,Leaves,Falling leaves,1,2017,306,2458060,-9999,-9999,306,306,306,7,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,498,Leaves,Colored leaves,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,1,'141890',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,501,Flowers,Open flowers,1,2017,354,2458108,-9999,-9999,354,354,354,30,-9999,-9999,1,2017,354,2458108,-9999,-9999,354,354,354,1,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,504,Fruits,Recent fruit or seed drop,1,2017,245,2457999,-9999,-9999,245,245,245,14,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,1,'141890',MultiObserver-StatusConflict,'141890'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,516,Fruits,Fruits,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,355,2458109,-9999,-9999,355,355,355,2,-9999,-9999,1,'141890',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,390,Fruits,Ripe fruits,1,2017,245,2457999,-9999,-9999,245,245,245,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',MultiObserver-StatusConflict,'141889'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,471,Leaves,Falling leaves,1,2017,263,2458017,-9999,-9999,263,263,263,18,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',-9999,''
